Date,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2018-12-19,-9,-52,-33,-33,12,-38,6,-3,-17,-16,-34,-8,13,-4,-66,-17,20,-19,2,-21,-11,-47,-4,-89,-16,-8,1,-12,-50,-6,-19,-49,-1,5,-40,-15,-16,-1,-9,-11,-3,4,1,-8,-23,-25,5,-10,4,-38,-17,-4,1,-8,7,2,-11,3,9,-10,-4
2018-12-20,-27,-23,-19,-32,8,-33,-9,1,-2,-12,-44,-1,19,-25,-46,-16,-6,-23,1,-12,-11,-30,-3,-103,-9,-27,-2,-10,-39,-4,-17,-35,4,-3,-32,-18,-10,1,-4,-2,0,-7,8,-4,-18,-48,9,-2,-20,-40,-12,-1,2,-18,-1,1,-10,1,-64,-6,-3
2018-12-21,-26,-17,-7,-33,15,-30,-7,5,4,-20,-18,-7,15,-20,-31,-5,-17,-17,6,-2,-6,-26,-6,-48,-8,-47,1,-2,-30,-1,-30,-30,4,2,-27,-13,-15,-6,-7,-2,0,3,8,5,-29,-49,-14,-3,-15,-41,-16,-2,6,-16,-5,-1,-6,-11,-90,-17,0
2018-12-22,-16,-9,7,-36,8,-21,-13,3,11,-14,-16,-18,17,-18,-37,1,-16,-14,-1,-15,-15,-13,3,-31,0,-58,-3,-5,-21,-15,-40,-28,-4,11,-11,-15,-14,-3,-31,-19,3,9,9,7,-41,-15,-10,-15,-6,-40,-11,7,2,-8,-10,5,5,-16,-32,-31,7
2018-12-23,-3,-8,-16,-31,2,-15,-14,6,1,-14,-30,-17,1,-12,-36,-24,-13,-9,0,-15,-4,-16,5,-12,3,-33,-7,-3,-15,-18,-30,-24,-25,18,-20,-7,-10,7,-22,-21,2,-10,24,-39,-20,-42,-8,-18,0,-42,-10,-2,5,-4,-3,12,5,9,-18,-27,7
2018-12-24,8,-7,-28,-25,3,-12,-11,6,12,-16,-20,-19,-2,-29,-28,-22,-3,-14,0,-10,-9,-8,7,-3,-15,-28,-8,-4,-25,-22,-28,-15,-20,-15,-15,-13,-11,-19,-29,1,-5,1,13,-13,-30,-39,0,-13,0,-36,-8,-6,-3,-7,0,12,7,-24,-8,-22,5
2018-12-25,1,5,-16,-26,1,-2,-8,8,-2,-11,-15,-9,-5,-19,-24,-5,2,-14,-6,-12,-3,-18,17,9,-6,-7,-15,1,-14,-17,-23,-49,-20,-21,-10,-8,-12,-20,-23,-13,4,-12,-1,9,-24,-32,3,-8,-9,-32,-6,-2,6,-2,-1,9,-11,-15,-4,-20,-7
2018-12-26,-19,4,-21,-16,8,-7,-8,2,-4,-20,-20,-8,1,-14,-32,-11,8,-14,-20,-11,-5,-31,11,-6,0,-3,-2,-25,-24,-16,-16,-54,-20,-3,10,-3,-10,-19,-21,-6,6,-14,3,-2,-20,-32,2,-8,-5,-29,0,0,-2,-8,-1,9,-5,-22,-3,-25,-8
2018-12-27,-13,-20,-39,-46,13,-16,-2,8,-4,-30,-20,-17,-8,-13,-28,-6,11,-20,-30,-14,-9,-29,-4,-14,1,7,-12,-24,-16,-8,-6,-45,-28,3,-20,19,-13,-17,-14,-2,2,-11,2,-2,-16,-55,1,-3,-4,-25,1,2,-2,-7,8,11,8,-12,-7,-19,0
2018-12-28,-4,-11,-44,-60,-6,-2,3,13,-9,-22,-8,-13,-1,-31,-17,3,6,-12,-18,-5,-11,-18,-11,-10,-5,-9,-13,-29,-36,-10,-2,-36,-17,13,-58,-27,-11,-13,-5,-3,10,-5,0,-5,10,-41,-14,-23,-23,-19,-5,5,1,-12,15,17,12,2,2,-13,-1
2018-12-29,5,-11,-37,-44,-9,-3,-12,8,-5,-13,-11,-13,2,-27,-30,-11,-3,-7,-19,-59,-14,-22,-33,-7,-34,-16,-6,-23,-34,-4,5,-43,-32,11,-42,-87,-3,-20,-4,-3,4,-30,-4,-2,34,-28,-4,-35,-19,-12,-3,3,1,-25,5,8,-1,-5,2,-13,5
2018-12-30,-13,-4,-28,-40,-13,4,-13,10,-1,-11,0,-16,4,-25,-36,-20,-5,-1,-16,-39,-14,-29,-24,-26,-56,-11,-20,-19,-48,-2,1,-30,-86,22,-41,-45,-5,-12,2,-10,-35,-16,10,-2,-25,-26,-6,-16,-12,-14,0,11,5,-12,-3,13,-4,-11,5,-7,6
2018-12-31,-82,1,-17,-43,-11,-2,-7,9,1,-4,-68,-12,10,-11,-22,-17,-6,-7,-7,-32,-8,-30,-14,-30,-33,-4,-25,-21,-37,-5,-6,-30,-79,5,-24,-24,-27,-7,-1,-12,-35,-4,-19,3,-31,-23,-1,-16,-11,-15,3,2,7,-17,-13,6,0,1,-18,-11,10
